Date,Total Value
2024-04-23,13221.0
2024-04-24,11074.0
2024-04-25,16000.0
2024-04-26,6108.0
2024-04-27,7117.0
2024-04-28,5954.0
2024-04-29,13468.0
2024-04-30,12040.0
2024-05-01,10004.0
2024-05-02,12754.0
2024-05-03,6798.0
2024-05-04,5786.0
2024-05-05,6198.0
2024-05-06,7849.0
2024-05-07,13386.0
2024-05-08,12621.0
2024-05-09,11598.0
2024-05-10,7622.0
2024-05-11,2154.0
2024-05-12,8016.0
2024-05-13,6293.0
2024-05-14,9932.0
2024-05-15,10109.0
2024-05-16,5723.0
2024-05-17,4558.0
2024-05-18,993.0
2024-05-19,3604.0
2024-05-20,3268.0
2024-05-21,6630.0
2024-05-22,3545.0
2024-05-23,2778.0
2024-05-24,5485.0
2024-05-25,2657.0
2024-05-26,2080.0
2024-05-27,1142.0
2024-05-28,2909.0
2024-05-29,6249.0
2024-05-30,2842.0
2024-05-31,1198.0
2024-06-01,1224.0
2024-06-02,5774.0
2024-06-03,4146.0
2024-06-04,4911.0
2024-06-05,3017.0
2024-06-06,5222.0
2024-06-07,1816.0
2024-06-08,1395.0
2024-06-09,5576.0
2024-06-10,1288.0
2024-06-11,5060.0
2024-06-12,1639.0
2024-06-13,5666.0
2024-06-14,1715.0
2024-06-15,6114.0
2024-06-16,1150.0
2024-06-17,9286.0
2024-06-18,10744.0
2024-06-19,8276.0
2024-06-20,8531.0
2024-06-21,11975.0
2024-06-22,1291.0
2024-06-23,2081.0
2024-06-24,1444.0
2024-06-25,9210.0
2024-06-26,2041.0
2024-06-27,7379.0
2024-06-28,1425.0
2024-06-29,1459.0
2024-06-30,5970.0
2024-07-01,2511.0
2024-07-02,5545.0
2024-07-03,1637.0
2024-07-04,5508.0
2024-07-05,5383.0
2024-07-06,2049.0
2024-07-07,1544.0
2024-07-08,2031.0
2024-07-09,6159.0
2024-07-10,1922.0
2024-07-11,7827.0
2024-07-12,3998.0
2024-07-13,2749.0
2024-07-14,574.0
2024-07-15,4918.0
2024-07-16,6222.0
2024-07-17,1939.0
2024-07-18,5573.0
2024-07-19,5524.0
2024-07-20,1676.0
2024-07-21,1952.0
2024-07-22,2254.0
2024-07-23,4601.0
2024-07-24,6648.0
2024-07-25,6124.0
2024-07-26,3174.0
2024-07-27,8289.0
2024-07-28,4686.0
2024-07-29,7412.0
2024-07-30,5820.0
2024-07-31,1185.0
2024-08-01,5976.0
2024-08-02,7766.0
2024-08-03,2545.0
2024-08-04,2642.0
2024-08-05,6565.0
2024-08-06,6178.0
2024-08-07,2969.0
2024-08-08,5803.0
2024-08-09,3393.0
2024-08-10,4070.0
2024-08-11,3889.0
2024-08-12,2583.0
2024-08-13,7833.0
2024-08-14,3476.0
2024-08-15,5525.0
2024-08-16,5051.0
2024-08-17,2380.0
2024-08-18,3218.0
2024-08-19,3052.0
2024-08-20,4987.0
2024-08-21,5733.0
2024-08-22,5362.0
2024-08-23,1612.0
2024-08-24,7128.0
2024-08-25,2146.0
2024-08-26,9376.0
2024-08-27,13494.0
2024-08-28,15094.0
2024-08-29,10752.0
2024-08-30,25052.0
2024-08-31,14750.0
2024-09-01,8754.0
2024-09-02,9118.0
2024-09-03,15086.0
2024-09-04,12569.0
2024-09-05,13846.0
2024-09-06,12672.0
2024-09-07,5109.0
2024-09-08,7692.0
2024-09-09,12789.0
2024-09-10,12605.0
2024-09-11,10209.0
2024-09-12,12161.0
2024-09-13,8071.0
2024-09-14,6870.0
2024-09-15,7357.0
2024-09-16,16459.0
2024-09-17,12844.0
2024-09-18,11520.0
2024-09-19,10004.0
2024-09-20,5682.0
2024-09-21,11364.0
2024-09-22,5053.0
2024-09-23,12707.0
2024-09-24,12937.0
2024-09-25,10497.0
2024-09-26,13224.0
2024-09-27,11245.0
2024-09-28,6707.0
2024-09-29,4329.0
2024-09-30,15790.0
2024-10-01,10837.0
2024-10-02,11971.0
2024-10-03,9513.0
2024-10-04,8620.0
2024-10-05,6285.0
2024-10-06,5922.0
2024-10-07,15415.0
2024-10-08,9149.0
2024-10-09,12819.0
2024-10-10,8568.0
2024-10-11,8738.0
2024-10-12,5728.0
2024-10-13,6764.0
2024-10-14,6627.0
2024-10-15,12729.0
2024-10-16,10865.0
2024-10-17,8635.0
2024-10-18,13052.0
2024-10-19,7298.0
2024-10-20,5570.0
2024-10-21,13464.0
2024-10-22,11382.0
2024-10-23,10033.0
2024-10-24,9074.0
2024-10-25,12319.0
2024-10-26,7427.0
2024-10-27,13029.0
2024-10-28,9715.0
2024-10-29,11413.0
2024-10-30,14034.0
2024-10-31,11037.0
2024-11-01,10609.0
2024-11-02,7986.0
2024-11-03,7148.0
2024-11-04,9039.0
2024-11-05,10880.0
2024-11-06,11192.0
2024-11-07,11129.0
2024-11-08,9763.0
2024-11-09,4987.0
2024-11-10,6731.0
2024-11-11,6030.0
2024-11-12,12664.0
2024-11-13,9346.0
2024-11-14,8533.0
2024-11-15,8675.0
2024-11-16,5619.0
2024-11-17,8977.0
2024-11-18,13141.0
2024-11-19,7731.0
2024-11-20,8843.0
2024-11-21,5356.0
2024-11-22,7015.0
2024-11-23,5591.0
2024-11-24,6606.0
2024-11-25,7236.0
2024-11-26,8191.0
2024-11-27,3430.0
2024-11-28,899.0
2024-11-29,286.0
2024-11-30,792.0
2024-12-01,2943.0
2024-12-02,11310.0
2024-12-03,10586.0
2024-12-04,8549.0
2024-12-05,10549.0
2024-12-06,9036.0
2024-12-07,6589.0
2024-12-08,5304.0
2024-12-09,11135.0
2024-12-10,4593.0
2024-12-11,10058.0
2024-12-12,9864.0
2024-12-13,6815.0
2024-12-14,9048.0
2024-12-15,8007.0
2024-12-16,4820.0
2024-12-17,710.0
2024-12-18,5500.0
2024-12-19,2799.0
2024-12-20,1950.0
2024-12-21,4452.0
2024-12-22,10016.0
2024-12-23,8443.0
2024-12-24,2552.0
2024-12-25,1496.0
2024-12-26,2381.0
2024-12-27,3816.0
2024-12-28,3469.0
2024-12-29,7304.0
2024-12-30,6772.0
2024-12-31,9436.0
2025-01-01,4188.0
2025-01-02,1727.0
2025-01-03,1954.0
2025-01-04,1739.0
2025-01-05,7953.0
2025-01-06,1779.0
2025-01-07,9735.0
2025-01-08,1848.0
2025-01-09,3675.0
2025-01-10,1230.0
2025-01-11,2072.0
2025-01-12,4853.0
2025-01-13,2286.0
2025-01-14,1690.0
2025-01-15,3091.0
2025-01-16,4296.0
2025-01-17,3034.0
2025-01-18,6193.0
2025-01-19,5985.0
2025-01-20,638.0
2025-01-21,2415.0
2025-01-22,1177.0
2025-01-23,17807.0
2025-01-24,1972.0
2025-01-25,1372.0
2025-01-26,9961.0
2025-01-27,6902.0
2025-01-28,7462.0
2025-01-29,5473.0
2025-01-30,12713.0
2025-01-31,11514.0
2025-02-01,8574.0
2025-02-02,8250.0
2025-02-03,10971.0
2025-02-04,13145.0
2025-02-05,12887.0
2025-02-06,5714.0
2025-02-07,10529.0
2025-02-08,6680.0
2025-02-09,6409.0
2025-02-10,14973.0
2025-02-11,11255.0
2025-02-12,11557.0
2025-02-13,3620.0
2025-02-14,10595.0
2025-02-15,5246.0
2025-02-16,4445.0
2025-02-17,3684.0
2025-02-18,12730.0
2025-02-19,12647.0
2025-02-20,8304.0
2025-02-21,6808.0
2025-02-22,3235.0
2025-02-23,7036.0
2025-02-24,14096.0
2025-02-25,11525.0
2025-02-26,10459.0
2025-02-27,12680.0
2025-02-28,11235.0
2025-03-01,2839.0
2025-03-02,7861.0
2025-03-03,9277.0
2025-03-04,12249.0
2025-03-05,11300.0
2025-03-06,14369.0
2025-03-07,9365.0
2025-03-08,9178.0
2025-03-09,6217.0
2025-03-10,8844.0
2025-03-11,10534.0
2025-03-12,9683.0
2025-03-13,12786.0
2025-03-14,8145.0
2025-03-15,2668.0
2025-03-16,12167.0
2025-03-17,7125.0
2025-03-18,7517.0
2025-03-19,5362.0
2025-03-20,7020.0
2025-03-21,5549.0
2025-03-22,1176.0
2025-03-23,3161.0
2025-03-24,11122.0
2025-03-25,12459.0
2025-03-26,9691.0
2025-03-27,10727.0
2025-03-28,6628.0
2025-03-29,5800.0
2025-03-30,4104.0
2025-03-31,9408.0
2025-04-01,11025.0
2025-04-02,8892.0
2025-04-03,9484.0
2025-04-04,7582.0
2025-04-05,6639.0
2025-04-06,4098.0
2025-04-07,9728.0
2025-04-08,12022.0
2025-04-09,11457.0
2025-04-10,11226.0
2025-04-11,8093.0
2025-04-12,5302.0
2025-04-13,7474.0
2025-04-14,9677.0
2025-04-15,13673.0
2025-04-16,9523.0
2025-04-17,8328.0
2025-04-18,9651.0
2025-04-19,6434.0
2025-04-20,4973.0
2025-04-21,8258.0
2025-04-22,14814.0
2025-04-23,8095.0
2025-04-24,12400.0
2025-04-25,11045.0
2025-04-26,10875.0
2025-04-27,5642.0
2025-04-28,10612.0
2025-04-29,6522.0
2025-04-30,10978.0
2025-05-01,9428.0
2025-05-02,8278.0
2025-05-03,8801.0
2025-05-04,5421.0
2025-05-05,11083.0
2025-05-06,13190.0
2025-05-07,7888.0
2025-05-08,9045.0
2025-05-09,7881.0
2025-05-10,6969.0
2025-05-11,2882.0
2025-05-12,7751.0
2025-05-13,8877.0
2025-05-14,6269.0
2025-05-15,6778.0
2025-05-16,5335.0
2025-05-17,9062.0
2025-05-18,11021.0
2025-05-19,3098.0
2025-05-20,2861.0
2025-05-21,7219.0
2025-05-22,2472.0
2025-05-23,3017.0
2025-05-24,1616.0
2025-05-25,5017.0
2025-05-26,1510.0
2025-05-27,3170.0
2025-05-28,3830.0
2025-05-29,5007.0
2025-05-30,3975.0
2025-05-31,7915.0
2025-06-01,6031.0
2025-06-02,9217.0
2025-06-03,3711.0
2025-06-04,4894.0
2025-06-05,10126.0
2025-06-06,5183.0
2025-06-07,14755.0
2025-06-08,4628.0
2025-06-09,7002.0
2025-06-10,7940.0
2025-06-11,3806.0
2025-06-12,4480.0
2025-06-13,4552.0
2025-06-14,10855.0
2025-06-15,10794.0
2025-06-16,4815.0
2025-06-17,4264.0
2025-06-18,5002.0
2025-06-19,11669.0
2025-06-20,4221.0
2025-06-21,10176.0
2025-06-22,11260.0
2025-06-23,4577.0
2025-06-24,8396.0
2025-06-25,5740.0
2025-06-26,7088.0
2025-06-27,6586.0
2025-06-28,13018.0
2025-06-29,4529.0
2025-06-30,9271.0
2025-07-01,8186.0
2025-07-02,6595.0
2025-07-03,7422.0
2025-07-04,7454.0
2025-07-05,6569.0
2025-07-06,4569.0
2025-07-07,17428.0
2025-07-08,4924.0
2025-07-09,7593.0
2025-07-10,7976.0
2025-07-11,4849.0
2025-07-12,15380.0
2025-07-13,7048.0
2025-07-14,10713.0
2025-07-15,8719.0
2025-07-16,4721.0
2025-07-17,4387.0
2025-07-18,3994.0
2025-07-19,10319.0
2025-07-20,5563.0
2025-07-21,5188.0
2025-07-22,8862.0
2025-07-23,6259.0
2025-07-24,4498.0
2025-07-25,6354.0
2025-07-26,8275.0
2025-07-27,19806.0
2025-07-28,4909.0
2025-07-29,5492.0
2025-07-30,5294.0
2025-07-31,2383.0
2025-08-01,8839.0
2025-08-02,10590.0
2025-08-03,12264.0
2025-08-04,4303.0
2025-08-05,3839.0
2025-08-06,7478.0
2025-08-07,7213.0
2025-08-08,7366.0
2025-08-09,8004.0
2025-08-10,9772.0
2025-08-11,6869.0
2025-08-12,10348.0
2025-08-13,7017.0
2025-08-14,8936.0
2025-08-15,5931.0
2025-08-16,10068.0
2025-08-17,13833.0
2025-08-18,7524.0
2025-08-19,5060.0
2025-08-20,4681.0
2025-08-21,5028.0
2025-08-22,8589.0
2025-08-23,16435.0
2025-08-24,8128.0
2025-08-25,13488.0
2025-08-26,11870.0
2025-08-27,11860.0
2025-08-28,8146.0
2025-08-29,6235.0
2025-08-30,16340.0
2025-08-31,12792.0
2025-09-01,11775.0
2025-09-02,14944.0
2025-09-03,16260.0
2025-09-04,20479.0
2025-09-05,15841.0
2025-09-06,8753.0
2025-09-07,10589.0
2025-09-08,16573.0
2025-09-09,10085.0
